word	word_length	aoa	OLD20	log10_freq_opensubs	log10_freq_sdewac	concreteness
Hornkäfer	0.738625989491842	1.250152427111515	0.738625989491842	-2.8006264986044096	-3.756359382517995	nan	
Flusspferd	1.1450379627111047	-0.045132115489921784	1.1450379627111047	-1.2272475164425682	-1.6602701653917682	1.537778430654393	
Reh	-1.699845849823734	-1.316577065282743	-1.699845849823734	-0.06814141393151758	-0.3431991082106689	1.33883006189105	
Lachs	-0.8870219033852087	-0.005399460808895996	-0.8870219033852087	0.022527622038784792	-0.28558978184896144	1.366825790429604	
Echse	-0.8870219033852087	0.2886221838306938	-0.8870219033852087	-0.5584483824116735	-1.0377634192790968	1.2274428015355257	
Schildlaus	1.1450379627111047	1.4964948861338738	1.1450379627111047	nan	-2.201349160604613	1.277477720625708	
Muschel	-0.07419795694668337	-0.8914376601957686	-0.07419795694668337	-0.31215585402472457	-0.49815293260505583	1.9124446700320648	
Seepferdchen	1.95786190914963	-0.5616566263432554	1.95786190914963	-0.9025179007157931	-0.8954022519462251	1.2643733370544696	
Seehund	-0.07419795694668337	-0.2835280435760757	-0.07419795694668337	-0.9778822219916392	-1.07639467905796	1.6837136113340898	
Schaf	-0.8870219033852087	-1.7218501430292048	-0.8870219033852087	0.308759276304632	0.06538130466763394	1.3846954043903834	
Schnecke	0.33221401627257935	-1.5231868696240767	0.33221401627257935	0.08139977692439469	-0.34661556364528634	1.5205044704923056	
Schlange	0.33221401627257935	-1.5549729933688972	0.33221401627257935	0.966634873469509	0.49881239315107917	1.1428599621211708	
Spinne	-0.48060993016594605	-1.4953740113473586	-0.48060993016594605	0.2858003072998825	-0.16245295000577453	1.1648991526727985	
Eichhörnchen	1.95786190914963	-1.078181137196589	1.95786190914963	0.26054802878507827	-0.38369527520382507	1.848114059773259	
Hirsch	-0.48060993016594605	-0.8199188817699224	-0.48060993016594605	0.1458876984059543	0.07375475819544712	1.535395815459622	
Seestern	0.33221401627257935	0.11379850323418057	0.33221401627257935	-1.031888194801246	-1.2832484487892153	1.768296450748445	
Stabheuschrecke	3.177097828807418	1.2739920199201298	3.177097828807418	-2.6081357095545656	-2.3671423500758304	1.2661602984505476	
Tarantel	0.33221401627257935	1.2263128343028995	0.33221401627257935	-0.9293971940585571	-1.4115496130918639	0.8098894886519835	
Zecke	-0.8870219033852087	0.6700556687685401	-0.8870219033852087	-0.7509391714615177	-0.38110595232896693	1.242334146502842	
Tiger	-0.8870219033852087	-1.2450582868568971	-0.8870219033852087	0.8097264269097665	0.29512037061368673	1.5663698129916392	
Schildkröte	1.5514499359303673	-1.078181137196589	1.5514499359303673	0.2544954757343802	-0.3556158888677694	1.7480442215928955	
Pute	-1.2934338766044715	-0.28352804357607597	-1.2934338766044715	-0.6119969942037204	-1.0684112325077042	1.3537214068583663	
Warzenschwein	2.364273882368893	-0.045132115489921784	2.364273882368893	-1.0613846800257387	-1.8325346717412971	0.5454192020324502	
Wespe	-0.8870219033852087	-1.0026890933026402	-0.8870219033852087	-0.5934681761765265	-0.7591225504413109	1.2059992647825908	
Wasserbüffel	1.95786190914963	0.8289862874926426	1.95786190914963	-1.2820861852771201	-1.1926726461637918	1.6575048441916138	
