word_one	easiness_one	word_two	easiness_two	relatedness_judgment_easiness
Pelikan	-2.187122419476509	Spannung	0.4167472720146179	-3.2220890522003174
Huhn	9.202502146363258	Ära	-0.11296048015356064	-3.2223052978515625
Reaktion	1.9730314314365387	Schlafanzug	0.05377188324928284	-3.2223477363586426
Egoismus	-5.623658895492554	Orgel	2.4538190215826035	-3.2227134704589844
Pelikan	-2.187122419476509	Urteil	3.9499930143356323	-3.2237751483917236
Kissen	7.090225178748369	Klischee	-5.676746999844909	-3.223871946334839
Sitzecke	-4.124009698629379	Unvernunft	-9.013991370797157	-3.224252223968506
Einsicht	-2.077363073825836	Sieb	4.024073533713818	-3.2244036197662354
Porzellan	-0.6497011184692383	Zielsetzung	-9.369734287261963	-3.2261905670166016
Unvernunft	-9.013991370797157	Wurst	6.3026677668094635	-3.2265028953552246
Egoismus	-5.623658895492554	Restaurator	-10.883191287517548	-3.2272236347198486
Einsicht	-2.077363073825836	Prinz	8.9366774559021	-3.227565288543701
Faible	-6.497554123401642	Huhn	9.202502146363258	-3.2282514572143555
Bikini	-0.6428369581699371	Logik	1.5887280404567719	-3.228367805480957
Nest	7.4305140376091	Unvernunft	-9.013991370797157	-3.229259729385376
Bedürfnis	-2.3859115839004517	Fabrik	5.413099765777588	-3.2294135093688965
Logik	1.5887280404567719	Packung	2.689155988395214	-3.2294669151306152
Egoismus	-5.623658895492554	Straßenbahn	-0.9054040312767029	-3.2296745777130127
Kleid	8.265328824520111	Zielsetzung	-9.369734287261963	-3.2298970222473145
Einsicht	-2.077363073825836	Gurke	3.8266159892082214	-3.2307116985321045
Gestaltung	-2.4748012721538544	Kastanie	-0.3792427182197571	-3.2315139770507812
Hotel	9.89326685667038	Logik	1.5887280404567719	-3.231666088104248
Keyboard	-4.134820818901062	Tugend	-2.3255178332328796	-3.2316768169403076
Birne	5.424082398414612	Unvernunft	-9.013991370797157	-3.232095718383789
Einsicht	-2.077363073825836	Papa	12.305543422698975	-3.2323365211486816
Logik	1.5887280404567719	Sessellift	-9.09966641664505	-3.232482671737671
Ehering	1.1312386095523834	Pensum	-7.565980494022369	-3.232715129852295
Akkordeon	-2.812601402401924	Logik	1.5887280404567719	-3.232760190963745
Huhn	9.202502146363258	Sicherheit	2.9108100831508636	-3.2327632904052734
Einsicht	-2.077363073825836	Pulver	3.7830314058810472	-3.233523368835449
Einsicht	-2.077363073825836	Sitzecke	-4.124009698629379	-3.2338671684265137
Egoismus	-5.623658895492554	Rakete	4.868371352553368	-3.2339563369750977
Egoismus	-5.623658895492554	Tourist	0.3464624285697937	-3.234635353088379
Egoismus	-5.623658895492554	Kalender	2.5711942315101624	-3.2347822189331055
Bedürfnis	-2.3859115839004517	Journalist	-1.3915113806724548	-3.234879493713379
Absender	-2.7784242182970047	Kissen	7.090225178748369	-3.235464096069336
Einsicht	-2.077363073825836	Tonne	5.439892306923866	-3.2364542484283447
Huhn	9.202502146363258	Mut	8.250369191169739	-3.236528158187866
Block	6.3632718324661255	Einsicht	-2.077363073825836	-3.2370893955230713
Chauffeur	-2.176593780517578	Einsicht	-2.077363073825836	-3.2371840476989746
Ausfall	-0.7887520045042038	Schlafanzug	0.05377188324928284	-3.2372090816497803
Aal	3.2476983070373535	Logik	1.5887280404567719	-3.2382724285125732
Honigmelone	-11.872802436351776	Logik	1.5887280404567719	-3.2386977672576904
Farmer	1.3360553681850433	Logik	1.5887280404567719	-3.239003896713257
Defizit	-4.101083323359489	Ehering	1.1312386095523834	-3.2393665313720703
Einsicht	-2.077363073825836	Panflöte	-8.040063321590424	-3.2401516437530518
Einsicht	-2.077363073825836	Welpe	2.2709853649139404	-3.2403204441070557
Schminke	-0.3499804139137268	Unvernunft	-9.013991370797157	-3.240485668182373
Kissen	7.090225178748369	Tätigkeit	-0.3298634886741638	-3.2407033443450928
Einsicht	-2.077363073825836	Geier	3.3652512431144714	-3.2412126064300537
Leder	4.592317312955856	Unvernunft	-9.013991370797157	-3.2413434982299805
Arbeiter	6.452251732349396	Einsicht	-2.077363073825836	-3.241450071334839
Anzahl	4.410464286804199	Kissen	7.090225178748369	-3.2414538860321045
Hagel	1.6879789233207703	Logik	1.5887280404567719	-3.2415175437927246
Dozent	-3.253120720386505	Tugend	-2.3255178332328796	-3.2415475845336914
Gärtner	3.9629909843206406	Zielsetzung	-9.369734287261963	-3.2416062355041504
Fernrohr	-1.250683307647705	Zielsetzung	-9.369734287261963	-3.2417547702789307
Egoismus	-5.623658895492554	Grapefruit	-5.983240127563477	-3.2427284717559814
Ingwer	-3.3140353560447693	Zielsetzung	-9.369734287261963	-3.2429351806640625
Bison	-2.0109260082244873	Unvernunft	-9.013991370797157	-3.2431371212005615
Höchstform	-8.993834257125854	Kastanie	-0.3792427182197571	-3.2440404891967773
Lerche	-1.455068975687027	Logik	1.5887280404567719	-3.244359016418457
Handwerker	0.8683889228850603	Logik	1.5887280404567719	-3.2443971633911133
Logik	1.5887280404567719	Osterei	-1.422088012099266	-3.2444803714752197
Einsicht	-2.077363073825836	Eishockey	-3.0140475034713745	-3.2444841861724854
Maulwurf	2.2083620131015778	Tugend	-2.3255178332328796	-3.2447545528411865
Bildung	2.213980570435524	Kastanie	-0.3792427182197571	-3.2450485229492188
Logik	1.5887280404567719	Schleifmaschine	-14.203871190547943	-3.2451508045196533
Bedürfnis	-2.3859115839004517	Rubin	0.267865926027298	-3.245276927947998
Egoismus	-5.623658895492554	Reporter	1.921680986881256	-3.2452869415283203
Einsicht	-2.077363073825836	Mauer	9.006741881370544	-3.245878219604492
Pflanze	5.677651897072792	Unvernunft	-9.013991370797157	-3.2458934783935547
Eifersucht	-2.7825881242752075	Kastanie	-0.3792427182197571	-3.246068000793457
Kissen	7.090225178748369	Methode	0.5467112213373184	-3.246965169906616
Logik	1.5887280404567719	Öl	9.30641633272171	-3.246971845626831
Brot	10.498179316520691	Logik	1.5887280404567719	-3.247232437133789
Belastung	-0.9880681484937668	Pelikan	-2.187122419476509	-3.247352361679077
Lötkolben	-7.784864962100983	Unvernunft	-9.013991370797157	-3.247638463973999
Einsicht	-2.077363073825836	Scheunentor	-6.509231925010681	-3.2478628158569336
Logik	1.5887280404567719	Schnee	8.129837214946747	-3.248473644256592
Unvernunft	-9.013991370797157	Wildente	-7.3813281655311584	-3.249006748199463
Filet	-2.4970650672912598	Zielsetzung	-9.369734287261963	-3.249098062515259
Rechen	-2.834497392177582	Unvernunft	-9.013991370797157	-3.2492318153381348
Stöckelschuh	-12.316256582736969	Unvernunft	-9.013991370797157	-3.249309778213501
